screen_name,followers,rt,text
,,0,b'RT @Ronald_vanLoon: What All Companies Can Learn from Sephora\\u2019s #AI Transformation \\nby @Ronald_vanLoon @SimpliLearn | \\n\\nRead more here: htt\\u2026'
,,0,b'RT @MikeQuindazzi: 10 #EmergingTechnologies Disrupting #DigitalMarketing &gt;&gt;&gt; @Spiralytics via @MikeQuindazzi &gt;&gt;&gt; #AI #BigData #DataScience\\u2026'
,,0,b'RT @ipfconline1: Top ways to manage #cloud complexity [Video]\\n\\nhttps://t.co/aTO41xceU1 via @ZDNet &amp; @TonyaHallRadio\\n#CloudComputing #BigDat\\u2026'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,"b'RT @pratititech: 62% of #enterprises have adopted and implemented #AI to its full potential for #cybersecurity, or are still exploring addi\\u2026'"
,,0,"b'RT @InraMontpellier: #Lauriers2019 \\nEn direct de la Bellevilloise \\xe0 Paris pour la remise du Laurier ""Innovation pour la recherche"" @Inra_Fr\\u2026'"
,,0,b'RT @gp_pulipaka: HPE Builds #BigData Server: Research packs 160 TBytes on GenZ. #BigData #Analytics #DataScience #AI #MachineLearning #IoT\\u2026'
,,0,b'RT @Ronald_vanLoon: #DataScience Summarized in One Picture\\n by @granvilledsc @DataScienceCtrl |\\n\\nRead more at https://t.co/YzsGk3BAl0\\n\\n #Ma\\u2026'
,,0,b'RT @alison_iot: German leader wants 1 million EV charging points by 2030: #BigData #MachineLearning #AI #IoT copy @Mikequindazzi https://t.\\u2026'
,,0,b'RT @reach2ratan: Open Database Exposes 93M Files On Substance Abuse Patients https://t.co/6jQqZhYMEO\\n\\n#CyberSecurity #Databreach #Hackers #\\u2026'
,,0,"b'RT @KirkDBorne: Applying Science to Business \\u2014 How to Maximize Effectiveness through best practices in Operations Research, plus 5 more tip\\u2026'"
,,0,"b""The @raidinc team is excited to be at #SC19 discussing how we've joined forces with @whamcloud to set a new standar\\u2026 https://t.co/uyUTszDc4o"""
,,0,"b""RT @ThancmarFeldt: Dotin Inc's Talent Analytics Artificial Intelligence (AI) Platform Adopted by NetOne Group for New Product Line, Karatar\\u2026"""
,,0,b'RT @MikeQuindazzi: 10 #EmergingTechnologies Disrupting #DigitalMarketing &gt;&gt;&gt; @Spiralytics via @MikeQuindazzi &gt;&gt;&gt; #AI #BigData #DataScience\\u2026'
,,0,b'Le CEO d\\u2019AWS assure que son Cloud \\xe0 2 ans d\\u2019avance sur Microsoft #bigdata https://t.co/dwloQLvCuT https://t.co/KPm7vXLE68'
,,0,b'HOW TO SMOOTHLY TRANSITION ONLINE CONTENT LEADS TO YOUR SALES STAFF\\n#contentmarketing #growthhacking #startup #SEO\\u2026 https://t.co/9mR7jeLXMe'
,,0,b'RT @LesFilles_Aussi: Le CEO d\\u2019AWS assure que son Cloud \\xe0 2 ans d\\u2019avance sur Microsoft #bigdata https://t.co/dwloQLvCuT https://t.co/KPm7vXL\\u2026'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,b'#NowHiring: #Technical Product Manager Artificial Intelligence (AI)\\n#AI #BigData #Boston #Robotics #Artificial Inte\\u2026 https://t.co/KIZQROOZRS'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'Integrating Python &amp; Tableau\\n\\n\\u261e https://t.co/kTsuiCpSXb\\n\\n#bigdata #hadoop https://t.co/tI1SGd1iJO'
,,0,"b""RT @StartGrowthHack: What's the difference between #ArtificialIntelligence, #MachineLearning and #DeepLearning.\\n\\n#AI #BigData\\n\\nVia @2morrow\\u2026"""
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,b'The latest The Business Intelligence Daily! https://t.co/VzCXnzN5Di Thanks to @MSDyn365Guy @msdevCA @matesic_damir #bigdata #datascience'
,,0,"b'RT @LSEImpactBlog: Big Qual - Why we should be thinking big about qualitative data for research, teaching and policy\\n\\n#BigData https://t.co\\u2026'"
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,"b'RT @SellingSacredGr: @RisMedia #RealEstate magazine talks with @REWebmasters new general manager, Vy Luu about the impact of technology and\\u2026'"
,,0,b'Department of Energy Announces $15 Million for Development of Artificial Intelligence and Machine Learning Tools -\\u2026 https://t.co/1FkngzgKAF'
,,0,b'RT @HotJobFinder: #NowHiring: #Technical Product Manager Artificial Intelligence (AI)\\n#AI #BigData #Boston #Robotics #Artificial Intelligen\\u2026'
,,0,b'RT @IainLJBrown: Department of Energy Announces $15 Million for Development of Artificial Intelligence and Machine Learning Tools - https:/\\u2026'
,,0,b'RT @TigerAnalytics: We are at the @CoriniumGlobal Chief Data &amp; Analytics Officer event in Boston at Booth No.18. Meet @flyanand to know mor\\u2026'
,,0,"b'Hiding likes on Instagram could change influencer marketing for the better, marketers say: https://t.co/hJumKNZlPY\\u2026 https://t.co/gZKlWlxcS6'"
,,0,b'The latest The Annette Nack Daily! https://t.co/w1JptQXod3 Thanks to @Aboundlessworld @harleypasternak @kirstymhall #bigdata #startup'
,,0,b'RT @Brandulinks: Aivna .com is a catchy and short name for an #ArtificialIntelligence #Tech #IoT #BigData #InfoSec #MachineLearning #DeepLe\\u2026'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @rlingle: RT KirkDBorne: #DARPA seeks to improve #AI at the military edge with Hyper-Dimensional Data-Enabled #NeuralNetworks (HyDDENN):\\u2026'
,,0,b'RT @annettenack: The latest The Annette Nack Daily! https://t.co/w1JptQXod3 Thanks to @Aboundlessworld @harleypasternak @kirstymhall #bigda\\u2026'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,b'HT KirkDBorne :\\n\\nHow #AI and a Clinical Data Revolution saved Intermountain Healthcare System $90 Million in under\\u2026 https://t.co/gXSVkDjXcX'
,,0,"b'RT @Nicochan33: Recessions, Big Data, Data Science and Liberating Power of \\u201cOwn It\\u201d #BigData #DataScience  https://t.co/MZCmteMJCm'"
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,b'RT @reach2ratan: Getting Your Team to Do More Than Meet Deadlines https://t.co/f3xltZqe9L\\n\\n#CyberSecurity #Databreach #Hackers #infosec @re\\u2026'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
,,0,"b'RT @RichardEudes: ""Play your charts right:"" An Illustrated Collection of Mistakes People Often Make When Visualizing Data https://t.co/32WW\\u2026'"
,,0,b'Integrating Python &amp; Tableau\\n\\n\\u261e https://t.co/vN7V3URtr7\\n\\n#bigdata #hadoop https://t.co/akGbZKBPZZ'
,,0,b'#Hiring: #Technical Product Manager Artificial Intelligence (AI)\\n#AI #BigData #Boston #Robotics #Artificial Intelli\\u2026 https://t.co/KmPFTStqiy'
,,0,b'RT @ipfconline1: Most Disruptive Techs of 2020\\n\\U0001f447\\n#Automation\\n#IoT\\nDigital Twinning\\nTrust in Digital Interactions...\\nMore \\U0001f449https://t.co/6bXm\\u2026'
,,0,b'RT @xfxie: Using Data Visualization and Analytics for Understanding O-D Flows of Bike-Sharing System in Smart Cities\\n\\nhttps://t.co/hJiXizip\\u2026'
,,0,b'@muijsjes @lobkevlaming Wat als dat het doel is.....#girfec #bigdata #verdienmodellen #selectieaandepoort'
